Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers,Num Studies,Total females in studies,Total males in studies,Female proportion in studies,Male proportion in studies,Most relevant studies,Number of participants in most relevant studies,Number of female participants in most relevant studies,Number of male participants in most relevant studies,Proportion of females in most relevant studies,Proportion of males in most relevant studies,Prevalence Men,Prevalence Women,Prevalence Both Genders
ROSUVASTATIN,HYPERTENSION,40,6,86.96,13.04,62.5,0.0,"['NCT02166814', 'NCT01764295', 'NCT03720067', 'NCT03247140', 'NCT02662894', 'NCT01173939', 'NCT02933658', 'NCT03566316', 'NCT04061824', 'NCT02075619', 'NCT03847506', 'NCT03707899', 'NCT03156842', 'NCT02047175', 'NCT02482207', 'NCT02770261', 'NCT03536598', 'NCT03088254', 'NCT03009487', 'NCT05411887', 'NCT02704702', 'NCT02205190', 'NCT02397538', 'NCT02569814', 'NCT01921946', 'NCT04161001', 'NCT02087540', 'NCT04158076', 'NCT01899027', 'NCT02995720', 'NCT05660135', 'NCT03116516', 'NCT02387619', 'NCT04659070', 'NCT02789475', 'NCT03210532', 'NCT01918332', 'NCT03872232', 'NCT01914432', 'NCT01609907', 'NCT03067688', 'NCT04398771', 'NCT01975961', 'NCT01490398', 'NCT04074551']",45.0,94.0,298.0,23.98,76.02,"['NCT01918332', 'NCT02704702']",392,94,298,23.97959183673469,76.0204081632653,22.91272727272727,22.484545454545454,22.74909090909091
CANDESARTAN CILEXETIL,HYPERTENSION,3630,1232,74.66,25.34,89.83,84.9,"['NCT01012479', 'NCT02006602', 'NCT00244621', 'NCT01025843', 'NCT02211638', 'NCT02068495', 'NCT01135212', 'NCT00690612', 'NCT00434967', 'NCT02006589', 'NCT00383929', 'NCT00573430', 'NCT00125463', 'NCT01734096', 'NCT00844324', 'NCT02944734', 'NCT02047019', 'NCT03847506', 'NCT02368652', 'NCT01289132', 'NCT00620178', 'NCT01303783', 'NCT02016183', 'NCT02166697', 'NCT01611077', 'NCT02368665', 'NCT00360763', 'NCT01788358', 'NCT02059616', 'NCT02094924', 'NCT01613209', 'NCT05920005', 'NCT00621153']",33.0,22043.0,22579.0,49.4,50.6,"['NCT02211638', 'NCT02166697', 'NCT02068495']",34234,16419,17815,47.961091312730034,52.038908687269966,22.91272727272727,22.484545454545454,22.74909090909091
ASPIRIN,HYPERTENSION,1420,179,88.81,11.19,99.37,98.32,"['NCT02238444', 'NCT02100462', 'NCT02921165', 'NCT00223717', 'NCT00225849', 'NCT00059306', 'NCT02007837', 'NCT04402385', 'NCT04645550', 'NCT02247414', 'NCT02594410', 'NCT00386529', 'NCT03961360', 'NCT04371874', 'NCT06281665', 'NCT00384865', 'NCT04356326', 'NCT00449618', 'NCT00105209']",19.0,628.0,18.0,97.21,2.79,"['NCT03961360', 'NCT00384865', 'NCT04402385']",646,628,18,97.21362229102168,2.786377708978328,22.91272727272727,22.484545454545454,22.74909090909091
SPIRONOLACTONE,HYPERTENSION,439,180,70.92,29.08,87.93,97.22,"['NCT02369081', 'NCT00865501', 'NCT01897727', 'NCT02832973', 'NCT02236520', 'NCT01712620', 'NCT02194465', 'NCT06275763', 'NCT01062763', 'NCT01198496', 'NCT00381134', 'NCT02426099', 'NCT00709137', 'NCT01195805', 'NCT01371747', 'NCT00332904', 'NCT05222191', 'NCT02230891', 'NCT04331691', 'NCT00430794', 'NCT02253394', 'NCT06413082', 'NCT00811486', 'NCT03071263', 'NCT01643434', 'NCT00335413', 'NCT02907749', 'NCT03626506', 'NCT05814770', 'NCT03344159', 'NCT00353652', 'NCT00524615', 'NCT00240656', 'NCT01388088', 'NCT00637078', 'NCT04455178', 'NCT01468571', 'NCT00429897']",38.0,910.0,1490.0,37.92,62.08,"['NCT01371747', 'NCT02194465', 'NCT03071263']",1804,734,1070,40.687361419068736,59.312638580931264,22.91272727272727,22.484545454545454,22.74909090909091
PERINDOPRIL,HYPERTENSION,1356,1472,47.95,52.05,92.77,89.81,"['NCT00461903', 'NCT05535595', 'NCT05683301', 'NCT00202592', 'NCT04306627', 'NCT02710539', 'NCT03730116', 'NCT05764317', 'NCT00128518', 'NCT04254042', 'NCT02710552', 'NCT01089452', 'NCT00122811', 'NCT01556997', 'NCT00202553', 'NCT03047538', 'NCT04591808', 'NCT01013155', 'NCT03246555', 'NCT02742467', 'NCT04023565', 'NCT03722524', 'NCT03295734', 'NCT03921736', 'NCT06259175', 'NCT05288400', 'NCT03393715', 'NCT01101009', 'NCT03747978', 'NCT02449811', 'NCT02995954', 'NCT01012687']",32.0,2508.0,2185.0,53.44,46.56,"['NCT03730116', 'NCT01556997', 'NCT03722524']",4693,2508,2185,53.44129554655871,46.558704453441294,22.91272727272727,22.484545454545454,22.74909090909091
EZETIMIBE,HYPERTENSION,6,22,21.43,78.57,50.0,77.27,"['NCT03847506', 'NCT00738972', 'NCT04161001', 'NCT04158076', 'NCT04659070', 'NCT03872232', 'NCT05930028', 'NCT04074551']",8.0,16.0,6.0,72.73,27.27,['NCT00738972'],22,16,6,72.72727272727273,27.27272727272727,22.91272727272727,22.484545454545454,22.74909090909091
ALISKIREN,HYPERTENSION,4855,7,99.86,0.14,99.96,100.0,"['NCT00219102', 'NCT00441064', 'NCT00867490', 'NCT00260923', 'NCT01237223', 'NCT00219050', 'NCT01284114', 'NCT01235910', 'NCT00294710', 'NCT00542269', 'NCT00841672', 'NCT00219167', 'NCT01042392', 'NCT00797862', 'NCT00942994', 'NCT00856960', 'NCT00219076', 'NCT00865020', 'NCT00933920', 'NCT00518765', 'NCT00760266', 'NCT00853957', 'NCT01150357', 'NCT01070030', 'NCT00219063', 'NCT00719316', 'NCT00797316', 'NCT00219024', 'NCT00706134', 'NCT00223717', 'NCT00834041', 'NCT00424541', 'NCT01922141', 'NCT00262236', 'NCT00299806', 'NCT01176032', 'NCT00219037', 'NCT00219115', 'NCT00939588', 'NCT00219193', 'NCT01454583', 'NCT00171405', 'NCT01048047', 'NCT01113047', 'NCT00772577', 'NCT00529451', 'NCT00219154', 'NCT01635387', 'NCT01827202', 'NCT00778921', 'NCT00402103', 'NCT01409408', 'NCT01138423', 'NCT01349114', 'NCT01318395', 'NCT01151410', 'NCT00344110', 'NCT00311012', 'NCT00777946', 'NCT01080768', 'NCT00819767', 'NCT00219089', 'NCT00219180', 'NCT01480791', 'NCT00927394', 'NCT00739973', 'NCT00765674', 'NCT00809926', 'NCT00974922', 'NCT00386139', 'NCT01570686', 'NCT01519635', 'NCT00739596', 'NCT01472796', 'NCT00631917', 'NCT00387517', 'NCT00219141', 'NCT00667719', 'NCT01461499', 'NCT01184599', 'NCT01425242', 'NCT01394770', 'NCT00654875', 'NCT00705575', 'NCT00299832', 'NCT00386607', 'NCT00219128', 'NCT00627861', 'NCT00787605', 'NCT00765947', 'NCT00368277', 'NCT00994253', 'NCT00343551', 'NCT00498433']",94.0,33961.0,40191.0,45.8,54.2,"['NCT01454583', 'NCT00739973', 'NCT00529451']",35980,16774,19206,46.62034463590884,53.37965536409117,22.91272727272727,22.484545454545454,22.74909090909091
LOSARTAN POTASSIUM,HYPERTENSION,119,24,83.22,16.78,33.61,29.17,"['NCT00447603', 'NCT00756938', 'NCT00887250', 'NCT00882440', 'NCT02900729', 'NCT00185094', 'NCT00739674', 'NCT01102465', 'NCT00157963', 'NCT00886600', 'NCT00546052', 'NCT00092209', 'NCT01216878', 'NCT01102478', 'NCT00449111', 'NCT00480805', 'NCT00617877', 'NCT00949884', 'NCT00888355', 'NCT03147092', 'NCT00953680', 'NCT01302691', 'NCT00354991', 'NCT00307060', 'NCT01234922', 'NCT00496834', 'NCT00398541', 'NCT00400218', 'NCT00140959', 'NCT01216852', 'NCT00943852', 'NCT00857285', 'NCT00856271', 'NCT00546754']",34.0,4918.0,6626.0,42.6,57.4,"['NCT00949884', 'NCT00739674', 'NCT00546052']",5322,2484,2838,46.674182638105975,53.325817361894025,22.91272727272727,22.484545454545454,22.74909090909091
CARVEDILOL,HYPERTENSION,135,172,43.97,56.03,100.0,97.67,"['NCT02975323', 'NCT00553969', 'NCT00123604', 'NCT03720067', 'NCT00430040', 'NCT05651789', 'NCT05767229', 'NCT00347360', 'NCT01243827', 'NCT06015373', 'NCT03736265', 'NCT01413048', 'NCT01756430', 'NCT06449339', 'NCT01059396', 'NCT00060918', 'NCT02066649', 'NCT00295542', 'NCT01970059', 'NCT00459056', 'NCT00964678', 'NCT01723371', 'NCT02507011', 'NCT01862497', 'NCT05872698', 'NCT01568645', 'NCT00669279', 'NCT01587638', 'NCT00493480', 'NCT02230891', 'NCT00060931', 'NCT02945982', 'NCT00624065', 'NCT00508365', 'NCT02056626', 'NCT02120339', 'NCT02406586', 'NCT06263816', 'NCT00496834', 'NCT03195634', 'NCT00444834', 'NCT01070641', 'NCT00657241', 'NCT03114813', 'NCT02907749', 'NCT05021406', 'NCT04121299', 'NCT02925975', 'NCT00827775', 'NCT00673075', 'NCT00273052', 'NCT00240656', 'NCT01586156', 'NCT00732511', 'NCT05794997']",55.0,1144.0,1524.0,42.88,57.12,"['NCT00273052', 'NCT00496834', 'NCT00624065']",1736,924,812,53.2258064516129,46.774193548387096,22.91272727272727,22.484545454545454,22.74909090909091
EPROSARTAN,HYPERTENSION,3,11,21.43,78.57,0.0,72.73,"['NCT01631227', 'NCT00438945', 'NCT00160160']",3.0,42.0,18.0,70.0,30.0,['NCT01631227'],60,42,18,70.0,30.0,22.91272727272727,22.484545454545454,22.74909090909091
CHLORTHALIDONE,HYPERTENSION,209,202,50.85,49.15,91.39,82.67,"['NCT02896621', 'NCT04519164', 'NCT01748123', 'NCT01191450', 'NCT05593055', 'NCT00000514', 'NCT02644395', 'NCT00996281', 'NCT02496910', 'NCT02152969', 'NCT01456169', 'NCT03226340', 'NCT00007592', 'NCT06041529', 'NCT02100462', 'NCT00006294', 'NCT01822860', 'NCT00591773', 'NCT00970931', 'NCT03662620', 'NCT02236520', 'NCT00846365', 'NCT00847626', 'NCT02493322', 'NCT05171686', 'NCT01806363', 'NCT02121041', 'NCT00000513', 'NCT02483936', 'NCT01368536', 'NCT04927299', 'NCT05370599', 'NCT00818883', 'NCT00696384', 'NCT00695955', 'NCT02030314', 'NCT02521246', 'NCT02841280', 'NCT06287580', 'NCT05222191', 'NCT01750294', 'NCT01850160', 'NCT00971165', 'NCT00000525', 'NCT00000522', 'NCT00241839', 'NCT02665117', 'NCT01083017', 'NCT02185417', 'NCT06282549', 'NCT00000499', 'NCT00000542', 'NCT01203852', 'NCT00353652', 'NCT01033071', 'NCT02591628', 'NCT05920005', 'NCT03928145', 'NCT03666351', 'NCT02521233']",60.0,11147.0,36908.0,23.2,76.8,"['NCT02185417', 'NCT00847626', 'NCT00846365']",32644,3724,28920,11.407915696605809,88.59208430339419,22.91272727272727,22.484545454545454,22.74909090909091
OLMESARTAN MEDOXOMIL,HYPERTENSION,618,375,62.24,37.76,70.71,67.2,"['NCT05184179', 'NCT02609490', 'NCT00430638', 'NCT00996281', 'NCT00185068', 'NCT01132768', 'NCT00185172', 'NCT00523744', 'NCT00751829', 'NCT00454662', 'NCT00890591', 'NCT00185094', 'NCT00134160', 'NCT00185120', 'NCT00846365', 'NCT00811226', 'NCT01684748', 'NCT02493322', 'NCT00791258', 'NCT02495324', 'NCT02483936', 'NCT00772499', 'NCT02848170', 'NCT00151775', 'NCT00796159', 'NCT00412932', 'NCT00185185', 'NCT01200407', 'NCT02377661', 'NCT01180205', 'NCT00676845', 'NCT00654745', 'NCT01611077', 'NCT05411887', 'NCT00949884', 'NCT00858702', 'NCT00902538', 'NCT00430508', 'NCT00430950', 'NCT00311155', 'NCT00527514', 'NCT00151814', 'NCT00403481', 'NCT02407210', 'NCT00891267', 'NCT00649389', 'NCT00923091', 'NCT00151827', 'NCT00220220', 'NCT00872586', 'NCT05033535', 'NCT00607035', 'NCT05660135', 'NCT00857285', 'NCT01033071', 'NCT00856271', 'NCT00751751', 'NCT00220233', 'NCT00185133']",59.0,13879.0,16206.0,46.13,53.87,"['NCT00923091', 'NCT00649389', 'NCT00523744']",13486,6432,7054,47.69390479015275,52.30609520984725,22.91272727272727,22.484545454545454,22.74909090909091
DOXAZOSIN,HYPERTENSION,106,20,84.13,15.87,97.17,95.0,"['NCT02369081', 'NCT00006294', 'NCT00295542', 'NCT02901977', 'NCT00295555', 'NCT00661895', 'NCT00424801', 'NCT00000522', 'NCT00646841', 'NCT00285519', 'NCT00000542', 'NCT01389609', 'NCT02563405']",13.0,144.0,54.0,72.73,27.27,['NCT00661895'],198,144,54,72.72727272727273,27.27272727272727,22.91272727272727,22.484545454545454,22.74909090909091
NEBIVOLOL,HYPERTENSION,10,3,76.92,23.08,0.0,100.0,"['NCT00200421', 'NCT06104423', 'NCT05328310', 'NCT00995072', 'NCT01076140', 'NCT01395329', 'NCT00200473', 'NCT03598673', 'NCT01415531', 'NCT01508026', 'NCT00734630', 'NCT01206439', 'NCT00829296', 'NCT01157234', 'NCT00200434', 'NCT00223717', 'NCT00145236', 'NCT00295542', 'NCT01441570', 'NCT01202175', 'NCT00547300', 'NCT00744237', 'NCT05513937', 'NCT00992056', 'NCT02710071', 'NCT01044693', 'NCT00158093', 'NCT05170061', 'NCT00770861', 'NCT01077661', 'NCT00125853', 'NCT01057251', 'NCT01502787', 'NCT01041287', 'NCT00142584', 'NCT00999102', 'NCT00673790', 'NCT01248338', 'NCT01961323', 'NCT01522950', 'NCT00648895', 'NCT00145210', 'NCT00849810', 'NCT00785512', 'NCT02053246', 'NCT01501929', 'NCT00200460', 'NCT01920282', 'NCT05257148', 'NCT03635125', 'NCT01758263', 'NCT01595516', 'NCT01499134', 'NCT01056718', 'NCT01771406', 'NCT00200499', 'NCT01605370', 'NCT00673075', 'NCT04910100', 'NCT01218100', 'NCT01679652', 'NCT00999752', 'NCT01996085', 'NCT02057328', 'NCT01415505']",65.0,4276.0,5278.0,44.76,55.24,"['NCT01218100', 'NCT01415531', 'NCT00673790']",3678,1598,2080,43.44752582925503,56.55247417074497,22.91272727272727,22.484545454545454,22.74909090909091
SODIUM,HYPERTENSION,74,0,100.0,0.0,100.0,-1.0,"['NCT03015402', 'NCT00000521', 'NCT01828138', 'NCT01334138', 'NCT02621450', 'NCT00259714', 'NCT00000495', 'NCT01681810', 'NCT02016404', 'NCT02147704', 'NCT04648592', 'NCT01395329', 'NCT00058929', 'NCT04076280', 'NCT04110262', 'NCT06292091', 'NCT00373360', 'NCT02822131', 'NCT01455974', 'NCT01462565', 'NCT02966665', 'NCT00995566', 'NCT05425030', 'NCT06303830', 'NCT05699486', 'NCT00000535', 'NCT05369416', 'NCT00000616', 'NCT01083524', 'NCT00345124', 'NCT03144817', 'NCT03424317', 'NCT01575041', 'NCT00689819', 'NCT05103813', 'NCT00000513', 'NCT01965236', 'NCT03431649', 'NCT01908699', 'NCT01637675', 'NCT02295852', 'NCT02527837', 'NCT00781885', 'NCT01725256', 'NCT00141609', 'NCT00000509', 'NCT00034307', 'NCT00000528', 'NCT00000497', 'NCT02517697', 'NCT00000498', 'NCT00319345', 'NCT03128177', 'NCT04764253', 'NCT03127553', 'NCT00927654', 'NCT04891354', 'NCT00494533', 'NCT01566084', 'NCT05430438', 'NCT00000608', 'NCT05165823', 'NCT04021355', 'NCT04286555', 'NCT00990314', 'NCT01899495', 'NCT02068781', 'NCT05798481', 'NCT00093912', 'NCT00643604', 'NCT00000501', 'NCT01523067', 'NCT06110429', 'NCT05041829', 'NCT04885491', 'NCT03226327', 'NCT01445873', 'NCT04488874', 'NCT00998465', 'NCT00080457', 'NCT01409122', 'NCT00000522', 'NCT00703339', 'NCT00989963', 'NCT01914224', 'NCT04459741', 'NCT00000536', 'NCT02738736', 'NCT01458236', 'NCT01416636', 'NCT00458042', 'NCT00145756', 'NCT00792571', 'NCT03990311', 'NCT01488383', 'NCT06317805', 'NCT00814645', 'NCT04415333']",98.0,972.0,516.0,65.32,34.68,"['NCT01908699', 'NCT00689819', 'NCT01416636']",998,652,346,65.33066132264528,34.66933867735471,22.91272727272727,22.484545454545454,22.74909090909091
DIURETIC,HYPERTENSION,26,0,100.0,0.0,100.0,-1.0,"['NCT05378750', 'NCT00334386', 'NCT05171686', 'NCT02240641', 'NCT01891513', 'NCT00295542', 'NCT04330300', 'NCT00000485', 'NCT05972785', 'NCT00858702', 'NCT00131846', 'NCT04354376', 'NCT05049616', 'NCT00229242', 'NCT01896661']",15.0,218.0,126.0,63.37,36.63,"['NCT00858702', 'NCT05049616']",344,218,126,63.372093023255815,36.627906976744185,22.91272727272727,22.484545454545454,22.74909090909091
EPLERENONE,HYPERTENSION,6,71,7.79,92.21,33.33,94.37,"['NCT00407784', 'NCT04519164', 'NCT05593055', 'NCT06208072', 'NCT02345044', 'NCT00147589', 'NCT02890173', 'NCT06275763', 'NCT00147563', 'NCT00758524', 'NCT00223717', 'NCT01887119', 'NCT00147615', 'NCT00649311', 'NCT05030545', 'NCT04746495', 'NCT03683069', 'NCT00138944', 'NCT00865176', 'NCT03923530', 'NCT00553722', 'NCT01373086', 'NCT00817635', 'NCT03476616', 'NCT00865618', 'NCT01302236', 'NCT01996449', 'NCT04840342', 'NCT03186742', 'NCT01275352', 'NCT00825188']",31.0,484.0,910.0,34.72,65.28,"['NCT00758524', 'NCT00817635', 'NCT01996449']",1382,484,898,35.02170767004342,64.97829232995659,22.91272727272727,22.484545454545454,22.74909090909091
PERINDOPRIL ARGININE,HYPERTENSION,1164,259,81.8,18.2,99.14,91.12,"['NCT05764317', 'NCT04254042', 'NCT03722524', 'NCT05288400']",4.0,687.0,451.0,60.37,39.63,['NCT03722524'],1138,687,451,60.36906854130053,39.63093145869948,22.91272727272727,22.484545454545454,22.74909090909091
TADALAFIL,HYPERTENSION,97,9,91.51,8.49,100.0,100.0,"['NCT01824290', 'NCT01302444', 'NCT03309592', 'NCT01910389', 'NCT05844462', 'NCT01178073', 'NCT01484431', 'NCT01244620', 'NCT02194465', 'NCT00157326', 'NCT01042158', 'NCT03236818', 'NCT01862536', 'NCT01324999', 'NCT01305252', 'NCT04483115', 'NCT03904693', 'NCT01743911', 'NCT00617305', 'NCT01066845', 'NCT00549302', 'NCT02891850', 'NCT01197469', 'NCT02968901', 'NCT04379180', 'NCT05179876', 'NCT06350773', 'NCT02558231', 'NCT00125918', 'NCT00705588', 'NCT01960153', 'NCT05937854', 'NCT02688387']",33.0,2950.0,1586.0,65.04,34.96,"['NCT01178073', 'NCT00549302', 'NCT02194465']",2530,1704,826,67.35177865612648,32.64822134387352,22.91272727272727,22.484545454545454,22.74909090909091
ALLOPURINOL,HYPERTENSION,59,10,85.51,14.49,100.0,100.0,"['NCT02237339', 'NCT00288158', 'NCT00288171', 'NCT02038179', 'NCT00288184', 'NCT01637623', 'NCT00241839', 'NCT05888233']",8.0,309.0,246.0,55.68,44.32,"['NCT00241839', 'NCT01637623', 'NCT02038179']",555,309,246,55.67567567567567,44.32432432432433,22.91272727272727,22.484545454545454,22.74909090909091
BISOPROLOL                         ,HYPERTENSION,19,1,95.0,5.0,100.0,0.0,"['NCT02369081', 'NCT01243827', 'NCT02832973', 'NCT01508325', 'NCT01066039', 'NCT03730116', 'NCT01762436', 'NCT01080742', 'NCT03276598', 'NCT01742702', 'NCT02355821', 'NCT01109043', 'NCT01251146', 'NCT02398929', 'NCT01079962', 'NCT04085562', 'NCT01977794', 'NCT01190436', 'NCT05288400', 'NCT01246037', 'NCT01939509', 'NCT05794997']",22.0,2159.0,2132.0,50.31,49.69,"['NCT03730116', 'NCT01977794', 'NCT01079962']",2953,1325,1628,44.869624111073485,55.13037588892652,22.91272727272727,22.484545454545454,22.74909090909091
AMILORIDE,HYPERTENSION,0,56,0.0,100.0,-1.0,100.0,"['NCT02896621', 'NCT01191450', 'NCT00394394', 'NCT01011660', 'NCT02832973', 'NCT00970931', 'NCT06416735', 'NCT00141596', 'NCT03031496', 'NCT00709137', 'NCT01918488', 'NCT01308983', 'NCT01195805', 'NCT02847338', 'NCT00424801', 'NCT04331691', 'NCT02351973', 'NCT02122731', 'NCT00971165', 'NCT05125237', 'NCT01388088', 'NCT00429897', 'NCT03928145', 'NCT01804777', 'NCT01706887']",25.0,14.0,28.0,33.33,66.67,['NCT03031496'],42,14,28,33.33333333333333,66.66666666666666,22.91272727272727,22.484545454545454,22.74909090909091
HYPROMELLOSE,HYPERTENSION,16,0,100.0,0.0,100.0,-1.0,"['NCT01525173', 'NCT02097719', 'NCT01170884', 'NCT01881126']",4.0,432.0,470.0,47.89,52.11,"['NCT01525173', 'NCT01170884', 'NCT02097719']",716,348,368,48.60335195530726,51.39664804469274,22.91272727272727,22.484545454545454,22.74909090909091
SODIUM NITROPRUSSIDE,HYPERTENSION,22,0,100.0,0.0,100.0,-1.0,"['NCT01395329', 'NCT02966665', 'NCT00093912']",3.0,32.0,52.0,38.1,61.9,['NCT01395329'],84,32,52,38.095238095238095,61.90476190476191,22.91272727272727,22.484545454545454,22.74909090909091
ASPIRIN,ISCHEMIC HEART DISEASE,1506,397,79.14,20.86,99.67,95.97,"['NCT00041938', 'NCT00404781', 'NCT05320926', 'NCT03198741', 'NCT05347069', 'NCT04148820', 'NCT02550717', 'NCT00262275']",8.0,32.0,52.0,38.1,61.9,['NCT00041938'],234,58,176,24.786324786324787,75.21367521367522,9.731363636363637,6.095454545454545,7.814545454545454
VALSARTAN,ISCHEMIC HEART DISEASE,15,19,44.12,55.88,66.67,89.47,"['NCT00133328', 'NCT00149227', 'NCT05271448']",3.0,2606.0,3456.0,42.99,57.01,['NCT00149227'],6062,2606,3456,42.98911250412405,57.01088749587595,9.731363636363637,6.095454545454545,7.814545454545454
ASPIRIN                            ,ISCHEMIC HEART DISEASE,1,20,4.76,95.24,100.0,100.0,"['NCT00041938', 'NCT00404781', 'NCT05320926', 'NCT03198741', 'NCT05347069', 'NCT04148820', 'NCT02550717', 'NCT00262275']",8.0,2606.0,3456.0,42.99,57.01,['NCT00041938'],234,58,176,24.786324786324787,75.21367521367522,9.731363636363637,6.095454545454545,7.814545454545454
ASPIRIN,STROKE,135,59,69.59,30.41,98.52,100.0,"['NCT02221102', 'NCT06053021', 'NCT04504864', 'NCT03568890', 'NCT00041938', 'NCT00265408', 'NCT01758614', 'NCT05476081', 'NCT03766581', 'NCT02878772', 'NCT02071004', 'NCT00238667', 'NCT00004727', 'NCT00061373', 'NCT02144831', 'NCT01518231', 'NCT00109382', 'NCT03823274', 'NCT04219774', 'NCT00816166', 'NCT02072226', 'NCT02427126', 'NCT01938248', 'NCT03884530', 'NCT01924325', 'NCT05910125', 'NCT01762163', 'NCT00966316', 'NCT00724724', 'NCT01642134', 'NCT01923818', 'NCT01586975', 'NCT03815175', 'NCT01375400', 'NCT04847752', 'NCT05885932', 'NCT04078737', 'NCT03431909', 'NCT02869009', 'NCT03978988', 'NCT05193071', 'NCT04516993', 'NCT04824911', 'NCT03661411', 'NCT00805311', 'NCT00004728', 'NCT02181361', 'NCT01790997', 'NCT00417898', 'NCT00363753', 'NCT04420351', 'NCT06243133', 'NCT04425590', 'NCT04796714', 'NCT04097912', 'NCT00664846', 'NCT03116269', 'NCT00814268', 'NCT04330872', 'NCT05047172', 'NCT00562289', 'NCT01578629', 'NCT02630862', 'NCT05476991', 'NCT02640794', 'NCT00847860', 'NCT02975076', 'NCT02224131', 'NCT03266731', 'NCT05700266', 'NCT00027066', 'NCT01800357', 'NCT02635230', 'NCT03578822', 'NCT01661322', 'NCT00766896', 'NCT03961334', 'NCT03871517', 'NCT02550717', 'NCT04809818', 'NCT04088513', 'NCT01763606', 'NCT02666742', 'NCT03192215', 'NCT01675115', 'NCT02313909', 'NCT05663307', 'NCT01831011', 'NCT03649711', 'NCT02247128', 'NCT06419283', 'NCT01038583', 'NCT03821883', 'NCT01559298', 'NCT04142151', 'NCT00697151']",96.0,11100.0,17475.0,38.85,61.15,"['NCT02313909', 'NCT03766581', 'NCT03815175']",20763,7810,12953,37.61498820016375,62.38501179983624,2.7857894736842104,2.305263157894737,2.5257894736842106
CLOPIDOGREL,STROKE,308,163,65.39,34.61,88.64,98.16,"['NCT06053021', 'NCT03568890', 'NCT03385538', 'NCT02983214', 'NCT01758614', 'NCT05476081', 'NCT03766581', 'NCT00238667', 'NCT00153062', 'NCT02144831', 'NCT00109382', 'NCT03823274', 'NCT04219774', 'NCT00816166', 'NCT01924325', 'NCT05910125', 'NCT06120725', 'NCT01642134', 'NCT01586975', 'NCT04847752', 'NCT05885932', 'NCT04078737', 'NCT03431909', 'NCT02869009', 'NCT05193071', 'NCT04824911', 'NCT03661411', 'NCT01790997', 'NCT00363753', 'NCT01141153', 'NCT04420351', 'NCT06243133', 'NCT00664846', 'NCT00814268', 'NCT05047172', 'NCT02506140', 'NCT00979589', 'NCT02640794', 'NCT02975076', 'NCT02224131', 'NCT06102720', 'NCT05700266', 'NCT06424548', 'NCT01661322', 'NCT03961334', 'NCT02550717', 'NCT04809818', 'NCT05553613', 'NCT04088513', 'NCT02093299', 'NCT02309970', 'NCT06242132', 'NCT03649711', 'NCT02247128', 'NCT04738097', 'NCT01559298', 'NCT06242145', 'NCT01495845', 'NCT04142151']",59.0,16600.0,29352.0,36.12,63.88,"['NCT00153062', 'NCT03766581', 'NCT00816166']",45618,16414,29204,35.981410846595644,64.01858915340436,2.7857894736842104,2.305263157894737,2.5257894736842106
ALTEPLASE,STROKE,41,42,49.4,50.6,100.0,100.0,"['NCT06058884', 'NCT05809921', 'NCT06078995', 'NCT04978181', 'NCT02229812', 'NCT03541668', 'NCT06194968', 'NCT02180204', 'NCT00640367', 'NCT05797792', 'NCT03997292', 'NCT04915729', 'NCT05429476', 'NCT04256473', 'NCT06196320', 'NCT02072226', 'NCT00044057', 'NCT05910125', 'NCT01455935', 'NCT04028518', 'NCT03889249', 'NCT03854500', 'NCT02814409', 'NCT01464788', 'NCT04454788', 'NCT03661411', 'NCT00887328', 'NCT05631847', 'NCT04260347', 'NCT05897554', 'NCT05728333', 'NCT01525290', 'NCT02229890', 'NCT00412867', 'NCT02447094', 'NCT02216565', 'NCT01150266', 'NCT01472926', 'NCT04309357', 'NCT01949948', 'NCT02002325', 'NCT01580839', 'NCT05635786', 'NCT03876119', 'NCT05281549', 'NCT02309970', 'NCT06337175', 'NCT05745259', 'NCT00624000', 'NCT00238537', 'NCT02930837', 'NCT04879615', 'NCT03151993', 'NCT02326428', 'NCT01062698', 'NCT05856851', 'NCT01183533', 'NCT03357133']",58.0,435.0,589.0,42.48,57.52,"['NCT02072226', 'NCT01464788', 'NCT02930837']",926,392,534,42.33261339092873,57.66738660907127,2.7857894736842104,2.305263157894737,2.5257894736842106
RIVAROXABAN,STROKE,9,9,50.0,50.0,100.0,100.0,"['NCT03568890', 'NCT03566303', 'NCT01925755', 'NCT06108414', 'NCT00403767', 'NCT02485873', 'NCT06144866', 'NCT02549963', 'NCT04273516', 'NCT03568916', 'NCT02042534', 'NCT02784717', 'NCT01923818', 'NCT04755283', 'NCT04135677', 'NCT03684564', 'NCT02111564', 'NCT01747746', 'NCT05047172', 'NCT00562289', 'NCT02168829', 'NCT03702582', 'NCT05700266', 'NCT03772457', 'NCT03148457', 'NCT02024230', 'NCT04142125', 'NCT06396858', 'NCT03119116', 'NCT04808934', 'NCT02309970', 'NCT02313909', 'NCT04878497']",33.0,39604.0,55804.0,41.51,58.49,"['NCT00403767', 'NCT02042534', 'NCT02111564']",80982,34050,46932,42.04638067718752,57.95361932281248,2.7857894736842104,2.305263157894737,2.5257894736842106
