Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
AVALIDE 150/12.5 MG,HYPERTENSION,22,35,38.6,61.4,90.91,62.86,[]
ACCURETIC 20/12.5 MG,HYPERTENSION,22,3,88,12,90.91,100,[]
PERINDOPRIL ERBUMINE,HYPERTENSION,3652,1603,69.5,30.5,85.9,87.96,"['NCT01556997', 'NCT01013155', 'NCT01012687']"
AVALIDE 300/12.5 MG,HYPERTENSION,9,31,22.5,77.5,100,51.61,[]
ADALAT XL  SRT 30MG,HYPERTENSION,12,5,70.59,29.41,33.33,0,[]
HYDROCHLOROTHIAZIDE / LISINOPRIL,HYPERTENSION,27,24,52.94,47.06,59.26,33.33,[]
METFORMIN,HYPERTENSION,94,11,89.52,10.48,96.81,45.45,"['NCT05526690', 'NCT01342614', 'NCT01001962', 'NCT00935805', 'NCT06452498', 'NCT02503943', 'NCT03629340', 'NCT02072382', 'NCT00105066', 'NCT01352026', 'NCT00538486', 'NCT03617458', 'NCT01364675', 'NCT02986659', 'NCT01090752', 'NCT00536211']"
CILAZAPRIL,HYPERTENSION,57,35,61.96,38.04,75.44,65.71,[]
ATORVASTATIN,HYPERTENSION,349,154,69.38,30.62,93.41,87.66,"['NCT00150384', 'NCT01126684', 'NCT02397590', 'NCT00615823', 'NCT00181181', 'NCT00530946', 'NCT00174304', 'NCT04306627', 'NCT03338426', 'NCT01842230', 'NCT02791958', 'NCT02254824', 'NCT00143234', 'NCT05764317', 'NCT00412113', 'NCT00407537', 'NCT00330785', 'NCT01257009', 'NCT02278471', 'NCT00991705', 'NCT02994745', 'NCT00579254', 'NCT01107743', 'NCT01541943', 'NCT03047538', 'NCT04591808', 'NCT03461081', 'NCT03639480', 'NCT05483894', 'NCT03532620', 'NCT00174330', 'NCT00497016', 'NCT04922424', 'NCT01806324', 'NCT04111419', 'NCT01842256', 'NCT02579356', 'NCT03951207', 'NCT05930028', 'NCT05165251', 'NCT01442987', 'NCT02566187']"
HYDROCHLOROTHIAZIDE,HYPERTENSION,397,69,85.19,14.81,74.06,82.61,"['NCT00168779', 'NCT01012479', 'NCT03978884', 'NCT03298802', 'NCT01258764', 'NCT00447603', 'NCT00369538', 'NCT00430638', 'NCT00239538', 'NCT00487123', 'NCT01748123', 'NCT00170950', 'NCT01370655', 'NCT00775814', 'NCT03946514', 'NCT03109795', 'NCT02046395', 'NCT00996281', 'NCT01365481', 'NCT00247910', 'NCT01975246', 'NCT00185068', 'NCT00605072', 'NCT00185172', 'NCT00277472', 'NCT00902304', 'NCT01692301', 'NCT00434967', 'NCT00311740', 'NCT00523744', 'NCT00133692', 'NCT00896389', 'NCT00170989', 'NCT03971929', 'NCT02900729', 'NCT00383929', 'NCT02248129', 'NCT00751829', 'NCT06041529', 'NCT02222480', 'NCT00250562', 'NCT01983462', 'NCT02100462', 'NCT00797862', 'NCT00890591', 'NCT00367094', 'NCT00942994', 'NCT01822860', 'NCT04423627', 'NCT00171782', 'NCT00005520', 'NCT01819220', 'NCT00739674', 'NCT00240474', 'NCT01102465', 'NCT00846365', 'NCT00760266', 'NCT00670566', 'NCT00811226', 'NCT01658657', 'NCT00240448', 'NCT01070030', 'NCT02072330', 'NCT00110422', 'NCT02493322', 'NCT01712139', 'NCT05171686', 'NCT00157963', 'NCT02177435', 'NCT00791258', 'NCT00642096', 'NCT00797316', 'NCT04334824', 'NCT00223717', 'NCT00994617', 'NCT01922141', 'NCT00246519', 'NCT02483936', 'NCT00153049', 'NCT01198249', 'NCT00224549', 'NCT04927299', 'NCT00772499', 'NCT01080742', 'NCT00509470', 'NCT05917275', 'NCT00886600', 'NCT02217852', 'NCT00546052', 'NCT01176032', 'NCT00171132', 'NCT02738632', 'NCT00412932', 'NCT00170937', 'NCT00904215', 'NCT00171015', 'NCT00133185', 'NCT00185185', 'NCT01219556', 'NCT02744456', 'NCT00092209', 'NCT02336607', 'NCT01102478', 'NCT00282178', 'NCT00426478', 'NCT02710071', 'NCT02278471', 'NCT00871871', 'NCT01256411', 'NCT00492128', 'NCT02377661', 'NCT00818883', 'NCT02016183', 'NCT00480805', 'NCT00935805', 'NCT01180205', 'NCT00139698', 'NCT03276598', 'NCT02214498', 'NCT00327145', 'NCT00654745', 'NCT00795847', 'NCT00617877', 'NCT00772577', 'NCT00400777', 'NCT00980187', 'NCT00890084', 'NCT03640221', 'NCT02466490', 'NCT00263003', 'NCT03461003', 'NCT00402103', 'NCT00267943', 'NCT00902538', 'NCT00274638', 'NCT00430508', 'NCT01138423', 'NCT00430950', 'NCT02175355', 'NCT00311155', 'NCT00695955', 'NCT03246555', 'NCT00374855', 'NCT00661895', 'NCT00403481', 'NCT00887510', 'NCT00264212', 'NCT00443612', 'NCT02521246', 'NCT00500604', 'NCT00761904', 'NCT02183701', 'NCT00424801', 'NCT02742467', 'NCT00548067', 'NCT00280540', 'NCT00708344', 'NCT03147092', 'NCT00649389', 'NCT00355589', 'NCT00926289', 'NCT00953680', 'NCT01050062', 'NCT00923091', 'NCT01302691', 'NCT00354991', 'NCT01480791', 'NCT00307060', 'NCT01172431', 'NCT04371874', 'NCT00765674', 'NCT00821574', 'NCT01712126', 'NCT00000525', 'NCT01375322', 'NCT02177422', 'NCT02294539', 'NCT02172586', 'NCT00872586', 'NCT00446563', 'NCT03179163', 'NCT01519635', 'NCT00607035', 'NCT00234858', 'NCT02242396', 'NCT00739596', 'NCT05125224', 'NCT00496834', 'NCT01392534', 'NCT00847834', 'NCT02185417', 'NCT00398541', 'NCT00667719', 'NCT00400218', 'NCT00338936', 'NCT03921736', 'NCT00273299', 'NCT04676399', 'NCT03578042', 'NCT00705575', 'NCT02177500', 'NCT00834600', 'NCT00999752', 'NCT00927537', 'NCT03205137', 'NCT01996085', 'NCT00396656', 'NCT01101009', 'NCT00241007', 'NCT00386607', 'NCT00388388', 'NCT00360178', 'NCT01033071', 'NCT02449811', 'NCT02412761', 'NCT00171561', 'NCT00457483', 'NCT02242383', 'NCT05920005', 'NCT01415505', 'NCT00787605', 'NCT03928145', 'NCT00765947', 'NCT02242877', 'NCT00368277', 'NCT00621153', 'NCT00994253', 'NCT02255253', 'NCT04952051', 'NCT00751751', 'NCT00171054', 'NCT00546754', 'NCT00220233', 'NCT02521233', 'NCT00923533', 'NCT00670787', 'NCT00651287', 'NCT02177487']"
APONIFED,HYPERTENSION,19,0,100,0,89.47,-1,[]
BISOPROLOL,HYPERTENSION,62,36,63.27,36.73,79.03,22.22,"['NCT02369081', 'NCT01243827', 'NCT02832973', 'NCT01508325', 'NCT01066039', 'NCT03730116', 'NCT01762436', 'NCT01080742', 'NCT03276598', 'NCT01742702', 'NCT02355821', 'NCT01109043', 'NCT01251146', 'NCT02398929', 'NCT01079962', 'NCT04085562', 'NCT01977794', 'NCT01190436', 'NCT05288400', 'NCT01246037', 'NCT01939509', 'NCT05794997']"
ATACAND TAB 16 MG,HYPERTENSION,63,11,85.14,14.86,80.95,72.73,[]
GEN NIFEDIPINE EXTENDED RELEASE,HYPERTENSION,6,23,20.69,79.31,33.33,26.09,[]
BETA BLOCKING AGENTS,HYPERTENSION,26,0,100,0,100,-1,[]
OLMESARTAN,HYPERTENSION,891,461,65.9,34.1,82.04,72.89,"['NCT05184179', 'NCT02609490', 'NCT00430638', 'NCT01764295', 'NCT00996281', 'NCT01876368', 'NCT00185068', 'NCT01132768', 'NCT01785472', 'NCT00185172', 'NCT01599104', 'NCT01692301', 'NCT00523744', 'NCT00751829', 'NCT00454662', 'NCT00890591', 'NCT00185094', 'NCT00134160', 'NCT00185120', 'NCT01271374', 'NCT00846365', 'NCT00811226', 'NCT01684748', 'NCT02493322', 'NCT00854763', 'NCT00791258', 'NCT02996916', 'NCT04061824', 'NCT02495324', 'NCT00696436', 'NCT02483936', 'NCT00772499', 'NCT00295542', 'NCT02848170', 'NCT05917275', 'NCT00151775', 'NCT00796159', 'NCT01089452', 'NCT05103332', 'NCT00412932', 'NCT00185185', 'NCT01219556', 'NCT01200407', 'NCT02377661', 'NCT01180205', 'NCT05110898', 'NCT00139698', 'NCT00676845', 'NCT00654745', 'NCT01611077', 'NCT04120753', 'NCT03009487', 'NCT05411887', 'NCT00949884', 'NCT00858702', 'NCT00902538', 'NCT00430508', 'NCT00430950', 'NCT00311155', 'NCT00527514', 'NCT00151814', 'NCT00403481', 'NCT02407210', 'NCT04161001', 'NCT00891267', 'NCT00649389', 'NCT00923091', 'NCT03024476', 'NCT00151827', 'NCT00220220', 'NCT01870739', 'NCT00872586', 'NCT05033535', 'NCT00607035', 'NCT05660135', 'NCT01028534', 'NCT00696241', 'NCT00834600', 'NCT05189015', 'NCT00362115', 'NCT00857285', 'NCT01101009', 'NCT01613209', 'NCT01033071', 'NCT00856271', 'NCT02449811', 'NCT01615198', 'NCT00759551', 'NCT00751751', 'NCT00220233', 'NCT00185133']"
GENNIFEDIPINE EXTENDED RELEASE,HYPERTENSION,26,3,89.66,10.34,57.69,0,[]
ROSUVASTATIN,HYPERTENSION,40,6,86.96,13.04,62.5,0,"['NCT02166814', 'NCT01764295', 'NCT03720067', 'NCT03247140', 'NCT02662894', 'NCT01173939', 'NCT02933658', 'NCT03566316', 'NCT04061824', 'NCT02075619', 'NCT03847506', 'NCT03707899', 'NCT03156842', 'NCT02047175', 'NCT02482207', 'NCT02770261', 'NCT03536598', 'NCT03088254', 'NCT03009487', 'NCT05411887', 'NCT02704702', 'NCT02205190', 'NCT02397538', 'NCT02569814', 'NCT01921946', 'NCT04161001', 'NCT02087540', 'NCT04158076', 'NCT01899027', 'NCT02995720', 'NCT05660135', 'NCT03116516', 'NCT02387619', 'NCT04659070', 'NCT02789475', 'NCT03210532', 'NCT01918332', 'NCT03872232', 'NCT01914432', 'NCT01609907', 'NCT03067688', 'NCT04398771', 'NCT01975961', 'NCT01490398', 'NCT04074551']"
FOSINOPRIL SODIUM,HYPERTENSION,43,101,29.86,70.14,93.02,90.1,[]
MYLAN NIFEDIPINE EXTENDED RELEASE,HYPERTENSION,74,83,47.13,52.87,52.7,39.76,[]
BENZTHIAZIDE / TRIAMTERENE,HYPERTENSION,15,0,100,0,80,-1,[]
AMILORIDE/HYDROCHLOROTHIAZIDE,HYPERTENSION,0,28,0,100,-1,100,[]
RANRAMIPRIL,HYPERTENSION,27,7,79.41,20.59,74.07,85.71,[]
LOZIDE TAB 2.5MG,HYPERTENSION,13,0,100,0,92.31,-1,[]
BENDROFLUMETHIAZIDE / PROPRANOLOL,HYPERTENSION,251,2,99.21,0.79,96.81,100,[]
NOVO AMLODIPINE,HYPERTENSION,24,22,52.17,47.83,50,36.36,[]
APOAMLODIPINE,HYPERTENSION,64,30,68.09,31.91,23.44,26.67,[]
RATIOAMLODIPINE TABLETS 5MG,HYPERTENSION,12,4,75,25,66.67,0,[]
CO AMLODIPINE,HYPERTENSION,47,28,62.67,37.33,57.45,71.43,[]
NOVOAMLODIPINE,HYPERTENSION,19,14,57.58,42.42,47.37,28.57,[]
APO INDAPAMIDE 1.25 MG TABLETS,HYPERTENSION,21,3,87.5,12.5,90.48,100,[]
MYLANNIFEDIPINE EXTENDED RELEASE,HYPERTENSION,53,28,65.43,34.57,35.85,10.71,[]
APO TRIAZIDE TAB,HYPERTENSION,8,14,36.36,63.64,75,100,[]
CANDESARTAN CILEXETIL,HYPERTENSION,3630,1232,74.66,25.34,89.83,84.9,"['NCT01012479', 'NCT02006602', 'NCT00244621', 'NCT01025843', 'NCT02211638', 'NCT02068495', 'NCT01135212', 'NCT00690612', 'NCT00434967', 'NCT02006589', 'NCT00383929', 'NCT00573430', 'NCT00125463', 'NCT01734096', 'NCT00844324', 'NCT02944734', 'NCT02047019', 'NCT03847506', 'NCT02368652', 'NCT01289132', 'NCT00620178', 'NCT01303783', 'NCT02016183', 'NCT02166697', 'NCT01611077', 'NCT02368665', 'NCT00360763', 'NCT01788358', 'NCT02059616', 'NCT02094924', 'NCT01613209', 'NCT05920005', 'NCT00621153']"
GDAMLODIPINE,HYPERTENSION,16,0,100,0,87.5,-1,[]
PMSAMLODIPINE,HYPERTENSION,73,11,86.9,13.1,64.38,63.64,[]
MINOXIDIL,HYPERTENSION,4,34,10.53,89.47,100,100,['NCT00607477']
ASPIRIN,HYPERTENSION,1420,179,88.81,11.19,99.37,98.32,"['NCT02238444', 'NCT02100462', 'NCT02921165', 'NCT00223717', 'NCT00225849', 'NCT00059306', 'NCT02007837', 'NCT04402385', 'NCT04645550', 'NCT02247414', 'NCT02594410', 'NCT00386529', 'NCT03961360', 'NCT04371874', 'NCT06281665', 'NCT00384865', 'NCT04356326', 'NCT00449618', 'NCT00105209']"
APO ENALAPRIL TAB 10MG,HYPERTENSION,10,8,55.56,44.44,40,25,[]
SPIRONOLACTONE,HYPERTENSION,439,180,70.92,29.08,87.93,97.22,"['NCT02369081', 'NCT00865501', 'NCT01897727', 'NCT02832973', 'NCT02236520', 'NCT01712620', 'NCT02194465', 'NCT06275763', 'NCT01062763', 'NCT01198496', 'NCT00381134', 'NCT02426099', 'NCT00709137', 'NCT01195805', 'NCT01371747', 'NCT00332904', 'NCT05222191', 'NCT02230891', 'NCT04331691', 'NCT00430794', 'NCT02253394', 'NCT06413082', 'NCT00811486', 'NCT03071263', 'NCT01643434', 'NCT00335413', 'NCT02907749', 'NCT03626506', 'NCT05814770', 'NCT03344159', 'NCT00353652', 'NCT00524615', 'NCT00240656', 'NCT01388088', 'NCT00637078', 'NCT04455178', 'NCT01468571', 'NCT00429897']"
PERINDOPRIL,HYPERTENSION,1356,1472,47.95,52.05,92.77,89.81,"['NCT00461903', 'NCT05535595', 'NCT05683301', 'NCT00202592', 'NCT04306627', 'NCT02710539', 'NCT03730116', 'NCT05764317', 'NCT00128518', 'NCT04254042', 'NCT02710552', 'NCT01089452', 'NCT00122811', 'NCT01556997', 'NCT00202553', 'NCT03047538', 'NCT04591808', 'NCT01013155', 'NCT03246555', 'NCT02742467', 'NCT04023565', 'NCT03722524', 'NCT03295734', 'NCT03921736', 'NCT06259175', 'NCT05288400', 'NCT03393715', 'NCT01101009', 'NCT03747978', 'NCT02449811', 'NCT02995954', 'NCT01012687']"
ADALAT XL   SRT 30MG,HYPERTENSION,42,12,77.78,22.22,14.29,58.33,[]
LOPRESOR 50MG,HYPERTENSION,5,6,45.45,54.55,100,0,[]
MYLANAMLODIPINE,HYPERTENSION,19,1,95,5,21.05,0,[]
ACEBUTOLOL,HYPERTENSION,12071,41,99.66,0.34,99.78,90.24,['NCT00000522']
APO ATENOL TAB 50MG,HYPERTENSION,5,8,38.46,61.54,0,0,[]
LOZIDE   TAB 1.25MG,HYPERTENSION,13,0,100,0,76.92,-1,[]
METHYLDOPA,HYPERTENSION,244,29,89.38,10.62,100,75.86,"['NCT00194974', 'NCT00329511', 'NCT04835233', 'NCT02531490', 'NCT01911494', 'NCT01912677']"
NADOLOL,HYPERTENSION,132,296,30.84,69.16,96.97,99.66,['NCT00450164']
HYDROCHLOROTHIAZIDE/TRIAMTERENE,HYPERTENSION,109,4,96.46,3.54,98.17,100,[]
COVERSYL PLUS HD,HYPERTENSION,70,73,48.95,51.05,74.29,78.08,[]
CILAZAPRIL / HYDROCHLOROTHIAZIDE,HYPERTENSION,33,3,91.67,8.33,66.67,0,[]
MYLANMETOPROLOL TYPE L,HYPERTENSION,12,0,100,0,0,-1,[]
BISOPROLOL AND AMLODIPINE,HYPERTENSION,403,238,62.87,37.13,93.05,88.66,[]
ADALAT XL  SRT,HYPERTENSION,24,21,53.33,46.67,87.5,100,[]
TEVAAMLODIPINE,HYPERTENSION,12,2,85.71,14.29,50,0,[]
(S)-WARFARIN,HYPERTENSION,4,7,36.36,63.64,100,71.43,[]
TEVARAMIPRIL,HYPERTENSION,24,5,82.76,17.24,41.67,20,[]
PMSRAMIPRILHCTZ,HYPERTENSION,42,12,77.78,22.22,76.19,0,[]
OLMESARTAN MEDOXOMIL AND DIURETICS,HYPERTENSION,179,66,73.06,26.94,64.8,77.27,[]
RAN VALSARTAN,HYPERTENSION,19,5,79.17,20.83,36.84,0,[]
APOATENIDONE,HYPERTENSION,10,1,90.91,9.09,70,0,[]
APOCANDESARTAN,HYPERTENSION,162,46,77.88,22.12,41.36,19.57,[]
SANDOZ VALSARTAN HCT 160MG/25MG,HYPERTENSION,18,14,56.25,43.75,5.56,57.14,[]
TEVAVALSARTAN,HYPERTENSION,42,6,87.5,12.5,38.1,16.67,[]
CANDESARTAN AND AMLODIPINE,HYPERTENSION,5390,263,95.35,4.65,91.48,55.13,[]
TEVA IRBESARTAN/HCTZ,HYPERTENSION,34,17,66.67,33.33,8.82,0,[]
HYDROCHLOROTHIAZIDE/QUINAPRIL HYDROCHLORIDE,HYPERTENSION,609,30,95.31,4.69,92.61,86.67,[]
ADALAT XL   SRT 20MG,HYPERTENSION,25,3,89.29,10.71,80,100,[]
ENALAPRIL AND DIURETICS,HYPERTENSION,92,63,59.35,40.65,92.39,100,[]
PMSIRBESARTAN,HYPERTENSION,26,2,92.86,7.14,7.69,100,[]
TEVAIRBESARTAN,HYPERTENSION,50,28,64.1,35.9,30,28.57,[]
SANDOZ VALSARTAN HCT 160MG/12.5MG,HYPERTENSION,30,15,66.67,33.33,70,66.67,[]
TEVA VALSARTAN/HCTZ,HYPERTENSION,11,14,44,56,0,42.86,[]
SANDOZ VALSARTAN HCT 80MG/12.5MG,HYPERTENSION,27,10,72.97,27.03,70.37,40,[]
EZETIMIBE,HYPERTENSION,6,22,21.43,78.57,50,77.27,"['NCT03847506', 'NCT00738972', 'NCT04161001', 'NCT04158076', 'NCT04659070', 'NCT03872232', 'NCT05930028', 'NCT04074551']"
PMSIRBESARTANHCTZ,HYPERTENSION,8,3,72.73,27.27,0,0,[]
RABEPRAZOLE SODIUM,HYPERTENSION,21,4,84,16,0,100,[]
TEVAIRBESARTAN/HCTZ,HYPERTENSION,19,2,90.48,9.52,0,100,[]
GD AMLODIPINE/ATORVASTATIN,HYPERTENSION,3,11,21.43,78.57,0,0,[]
PMSATENOLOL,HYPERTENSION,6,9,40,60,0,33.33,[]
TEVAVALSARTAN/HCTZ,HYPERTENSION,6,7,46.15,53.85,0,0,[]
VALSARTAN AND DIURETICS,HYPERTENSION,20,8,71.43,28.57,90,50,[]
INFLIXIMAB,HYPERTENSION,13,0,100,0,100,-1,"['NCT02743390', 'NCT02132234']"
S-ATENOLOL,HYPERTENSION,1408,779,64.38,35.62,93.11,94.87,[]
PMSHYDROCHLOROTHIAZID,HYPERTENSION,124,0,100,0,100,-1,[]
ALENDRONIC ACID,HYPERTENSION,23,34,40.35,59.65,100,100,[]
TRIAMTERENE  HYDROCHLOROTHIAZIDE,HYPERTENSION,4,13,23.53,76.47,50,0,[]
APO CANDESARTAN/HCTZ,HYPERTENSION,65,13,83.33,16.67,30.77,0,[]
TEVAATENOLOL,HYPERTENSION,12,0,100,0,25,-1,[]
ALISKIREN,HYPERTENSION,4855,7,99.86,0.14,99.96,100,"['NCT00219102', 'NCT00441064', 'NCT00867490', 'NCT00260923', 'NCT01237223', 'NCT00219050', 'NCT01284114', 'NCT01235910', 'NCT00294710', 'NCT00542269', 'NCT00841672', 'NCT00219167', 'NCT01042392', 'NCT00797862', 'NCT00942994', 'NCT00856960', 'NCT00219076', 'NCT00865020', 'NCT00933920', 'NCT00518765', 'NCT00760266', 'NCT00853957', 'NCT01150357', 'NCT01070030', 'NCT00219063', 'NCT00719316', 'NCT00797316', 'NCT00219024', 'NCT00706134', 'NCT00223717', 'NCT00834041', 'NCT00424541', 'NCT01922141', 'NCT00262236', 'NCT00299806', 'NCT01176032', 'NCT00219037', 'NCT00219115', 'NCT00939588', 'NCT00219193', 'NCT01454583', 'NCT00171405', 'NCT01048047', 'NCT01113047', 'NCT00772577', 'NCT00529451', 'NCT00219154', 'NCT01635387', 'NCT01827202', 'NCT00778921', 'NCT00402103', 'NCT01409408', 'NCT01138423', 'NCT01349114', 'NCT01318395', 'NCT01151410', 'NCT00344110', 'NCT00311012', 'NCT00777946', 'NCT01080768', 'NCT00819767', 'NCT00219089', 'NCT00219180', 'NCT01480791', 'NCT00927394', 'NCT00739973', 'NCT00765674', 'NCT00809926', 'NCT00974922', 'NCT00386139', 'NCT01570686', 'NCT01519635', 'NCT00739596', 'NCT01472796', 'NCT00631917', 'NCT00387517', 'NCT00219141', 'NCT00667719', 'NCT01461499', 'NCT01184599', 'NCT01425242', 'NCT01394770', 'NCT00654875', 'NCT00705575', 'NCT00299832', 'NCT00386607', 'NCT00219128', 'NCT00627861', 'NCT00787605', 'NCT00765947', 'NCT00368277', 'NCT00994253', 'NCT00343551', 'NCT00498433']"
TEVA LOSARTAN/HCTZ,HYPERTENSION,13,6,68.42,31.58,0,0,[]
APOLOSARTAN/HCTZ,HYPERTENSION,19,4,82.61,17.39,0,75,[]
TEVA LOSARTAN FILM COATED,HYPERTENSION,14,3,82.35,17.65,0,0,[]
LOSARTAN POTASSIUM,HYPERTENSION,119,24,83.22,16.78,33.61,29.17,"['NCT00447603', 'NCT00756938', 'NCT00887250', 'NCT00882440', 'NCT02900729', 'NCT00185094', 'NCT00739674', 'NCT01102465', 'NCT00157963', 'NCT00886600', 'NCT00546052', 'NCT00092209', 'NCT01216878', 'NCT01102478', 'NCT00449111', 'NCT00480805', 'NCT00617877', 'NCT00949884', 'NCT00888355', 'NCT03147092', 'NCT00953680', 'NCT01302691', 'NCT00354991', 'NCT00307060', 'NCT01234922', 'NCT00496834', 'NCT00398541', 'NCT00400218', 'NCT00140959', 'NCT01216852', 'NCT00943852', 'NCT00857285', 'NCT00856271', 'NCT00546754']"
CANDESARTAN AND DIURETICS,HYPERTENSION,214,16,93.04,6.96,87.85,81.25,[]
HYDROCHLOROTHIAZIDE / TRIAMTERENE,HYPERTENSION,37,17,68.52,31.48,78.38,35.29,[]
TIOTROPIUM,HYPERTENSION,28,22,56,44,100,95.45,[]
MYLANTELMISARTAN,HYPERTENSION,14,0,100,0,57.14,-1,[]
APO LOSARTAN/HCTZ,HYPERTENSION,27,17,61.36,38.64,25.93,23.53,[]
LOSARTAN/HCTZ,HYPERTENSION,91,39,70,30,26.37,17.95,['NCT00447603']
APOLOSARTAN,HYPERTENSION,39,10,79.59,20.41,33.33,60,[]
TEVATELMISARTAN,HYPERTENSION,94,4,95.92,4.08,74.47,25,[]
MYLANLOSARTAN,HYPERTENSION,13,4,76.47,23.53,15.38,0,[]
RATIO IRBESARTAN,HYPERTENSION,12,5,70.59,29.41,50,40,[]
TEVATELMISARTAN HCTZ,HYPERTENSION,13,12,52,48,23.08,16.67,[]
DUTASTERIDE,HYPERTENSION,0,69,0,100,-1,97.1,[]
PMSLOSARTAN,HYPERTENSION,16,2,88.89,11.11,0,0,[]
AMLODIPINE / HYDROCHLOROTHIAZIDE / VALSARTAN,HYPERTENSION,83,15,84.69,15.31,100,100,[]
TEVALOSARTAN/HCTZ,HYPERTENSION,18,2,90,10,16.67,0,[]
TEVALOSARTAN,HYPERTENSION,15,3,83.33,16.67,0,0,[]
LOSARTAN AND DIURETICS,HYPERTENSION,26,18,59.09,40.91,69.23,77.78,[]
CARVEDILOL,HYPERTENSION,135,172,43.97,56.03,100,97.67,"['NCT02975323', 'NCT00553969', 'NCT00123604', 'NCT03720067', 'NCT00430040', 'NCT05651789', 'NCT05767229', 'NCT00347360', 'NCT01243827', 'NCT06015373', 'NCT03736265', 'NCT01413048', 'NCT01756430', 'NCT06449339', 'NCT01059396', 'NCT00060918', 'NCT02066649', 'NCT00295542', 'NCT01970059', 'NCT00459056', 'NCT00964678', 'NCT01723371', 'NCT02507011', 'NCT01862497', 'NCT05872698', 'NCT01568645', 'NCT00669279', 'NCT01587638', 'NCT00493480', 'NCT02230891', 'NCT00060931', 'NCT02945982', 'NCT00624065', 'NCT00508365', 'NCT02056626', 'NCT02120339', 'NCT02406586', 'NCT06263816', 'NCT00496834', 'NCT03195634', 'NCT00444834', 'NCT01070641', 'NCT00657241', 'NCT03114813', 'NCT02907749', 'NCT05021406', 'NCT04121299', 'NCT02925975', 'NCT00827775', 'NCT00673075', 'NCT00273052', 'NCT00240656', 'NCT01586156', 'NCT00732511', 'NCT05794997']"
RATIO IRBESARTAN HCTZ,HYPERTENSION,14,0,100,0,0,-1,[]
ROSUVASTATIN AND ACETYLSALICYLIC ACID,HYPERTENSION,8771,166,98.14,1.86,99.89,92.77,[]
SANDOZ LOSARTAN HCT,HYPERTENSION,23,25,47.92,52.08,43.48,56,[]
TEVAATENOL,HYPERTENSION,21,0,100,0,100,-1,[]
PROTRIAZIDE,HYPERTENSION,13,0,100,0,92.31,-1,[]
EPROSARTAN,HYPERTENSION,3,11,21.43,78.57,0,72.73,"['NCT01631227', 'NCT00438945', 'NCT00160160']"
PREDNISONE,HYPERTENSION,316,18,94.61,5.39,99.68,66.67,[]
CORGARD NADOLOL,HYPERTENSION,20,0,100,0,100,-1,[]
RIVAROXABAN,HYPERTENSION,9,81,10,90,55.56,100,['NCT04397289']
INSULIN DEGLUDEC / LIRAGLUTIDE,HYPERTENSION,35,11,76.09,23.91,100,100,[]
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,HYPERTENSION,4,26,13.33,86.67,100,100,[]
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,HYPERTENSION,4,7,36.36,63.64,100,100,[]
CANDESARTAN/HCTZ,HYPERTENSION,182,43,80.89,19.11,10.99,25.58,[]
MYLANLOSARTAN HCTZ,HYPERTENSION,12,0,100,0,0,-1,[]
ALISKIREN / AMLODIPINE,HYPERTENSION,3013,665,81.92,18.08,99.7,88.57,[]
TEVALOSARTAN FILMCOATED,HYPERTENSION,18,1,94.74,5.26,0,0,[]
CIPRALEX   10MG,HYPERTENSION,17,0,100,0,100,-1,[]
CHLORTHALIDONE,HYPERTENSION,209,202,50.85,49.15,91.39,82.67,"['NCT02896621', 'NCT04519164', 'NCT01748123', 'NCT01191450', 'NCT05593055', 'NCT00000514', 'NCT02644395', 'NCT00996281', 'NCT02496910', 'NCT02152969', 'NCT01456169', 'NCT03226340', 'NCT00007592', 'NCT06041529', 'NCT02100462', 'NCT00006294', 'NCT01822860', 'NCT00591773', 'NCT00970931', 'NCT03662620', 'NCT02236520', 'NCT00846365', 'NCT00847626', 'NCT02493322', 'NCT05171686', 'NCT01806363', 'NCT02121041', 'NCT00000513', 'NCT02483936', 'NCT01368536', 'NCT04927299', 'NCT05370599', 'NCT00818883', 'NCT00696384', 'NCT00695955', 'NCT02030314', 'NCT02521246', 'NCT02841280', 'NCT06287580', 'NCT05222191', 'NCT01750294', 'NCT01850160', 'NCT00971165', 'NCT00000525', 'NCT00000522', 'NCT00241839', 'NCT02665117', 'NCT01083017', 'NCT02185417', 'NCT06282549', 'NCT00000499', 'NCT00000542', 'NCT01203852', 'NCT00353652', 'NCT01033071', 'NCT02591628', 'NCT05920005', 'NCT03928145', 'NCT03666351', 'NCT02521233']"
MYLAN CANDESARTAN HCTZ,HYPERTENSION,14,0,100,0,42.86,-1,[]
SANDOZ CANDESARTAN PLUS,HYPERTENSION,62,15,80.52,19.48,24.19,0,[]
PMSRAMIPRIL,HYPERTENSION,15,3,83.33,16.67,0,0,[]
AMLODIPINE BESILATE/VALSARTAN,HYPERTENSION,12,0,100,0,100,-1,[]
ADALAT XL  SRT 20MG,HYPERTENSION,9,23,28.12,71.88,22.22,82.61,[]
AMLODIPINE/LISINOPRIL,HYPERTENSION,12,149,7.45,92.55,100,100,[]
APOCANDESARTAN/HCTZ,HYPERTENSION,35,4,89.74,10.26,31.43,0,[]
